Number of Data Points,Classifier Name,Model Accuracy
36,<function logisticRegression at 0x7f536612a430>,50.0
36,<function decisionTree at 0x7f536612a4c0>,33.33
36,<function randomForest at 0x7f536612a550>,83.33
37,<function naiveBayes at 0x7f536612a3a0>,66.67
37,<function logisticRegression at 0x7f536612a430>,66.67
37,<function decisionTree at 0x7f536612a4c0>,33.33
37,<function randomForest at 0x7f536612a550>,50.0
38,<function naiveBayes at 0x7f536612a3a0>,50.0
38,<function logisticRegression at 0x7f536612a430>,50.0
38,<function decisionTree at 0x7f536612a4c0>,33.33
38,<function randomForest at 0x7f536612a550>,50.0
39,<function naiveBayes at 0x7f536612a3a0>,66.67
39,<function logisticRegression at 0x7f536612a430>,83.33
39,<function decisionTree at 0x7f536612a4c0>,33.33
39,<function randomForest at 0x7f536612a550>,33.33
40,<function naiveBayes at 0x7f536612a3a0>,83.33
40,<function logisticRegression at 0x7f536612a430>,50.0
40,<function decisionTree at 0x7f536612a4c0>,33.33
40,<function randomForest at 0x7f536612a550>,50.0
41,<function naiveBayes at 0x7f536612a3a0>,57.14
41,<function logisticRegression at 0x7f536612a430>,42.86
41,<function decisionTree at 0x7f536612a4c0>,28.57
41,<function randomForest at 0x7f536612a550>,57.14
42,<function naiveBayes at 0x7f536612a3a0>,57.14
42,<function logisticRegression at 0x7f536612a430>,28.57
42,<function decisionTree at 0x7f536612a4c0>,85.71
42,<function randomForest at 0x7f536612a550>,57.14
43,<function naiveBayes at 0x7f536612a3a0>,71.43
43,<function logisticRegression at 0x7f536612a430>,57.14
43,<function decisionTree at 0x7f536612a4c0>,14.29
43,<function randomForest at 0x7f536612a550>,42.86
44,<function naiveBayes at 0x7f536612a3a0>,57.14
44,<function logisticRegression at 0x7f536612a430>,42.86
44,<function decisionTree at 0x7f536612a4c0>,57.14
44,<function randomForest at 0x7f536612a550>,57.14
45,<function naiveBayes at 0x7f536612a3a0>,42.86
45,<function logisticRegression at 0x7f536612a430>,42.86
45,<function decisionTree at 0x7f536612a4c0>,42.86
45,<function randomForest at 0x7f536612a550>,71.43
46,<function naiveBayes at 0x7f536612a3a0>,57.14
46,<function logisticRegression at 0x7f536612a430>,71.43
46,<function decisionTree at 0x7f536612a4c0>,57.14
46,<function randomForest at 0x7f536612a550>,85.71
47,<function naiveBayes at 0x7f536612a3a0>,37.5
47,<function logisticRegression at 0x7f536612a430>,50.0
47,<function decisionTree at 0x7f536612a4c0>,50.0
47,<function randomForest at 0x7f536612a550>,50.0
48,<function naiveBayes at 0x7f536612a3a0>,62.5
48,<function logisticRegression at 0x7f536612a430>,37.5
48,<function decisionTree at 0x7f536612a4c0>,50.0
48,<function randomForest at 0x7f536612a550>,37.5
49,<function naiveBayes at 0x7f536612a3a0>,12.5
49,<function logisticRegression at 0x7f536612a430>,50.0
49,<function decisionTree at 0x7f536612a4c0>,37.5
49,<function randomForest at 0x7f536612a550>,37.5
50,<function naiveBayes at 0x7f536612a3a0>,75.0
50,<function logisticRegression at 0x7f536612a430>,62.5
50,<function decisionTree at 0x7f536612a4c0>,50.0
50,<function randomForest at 0x7f536612a550>,62.5
51,<function naiveBayes at 0x7f536612a3a0>,37.5
51,<function logisticRegression at 0x7f536612a430>,62.5
51,<function decisionTree at 0x7f536612a4c0>,50.0
51,<function randomForest at 0x7f536612a550>,25.0
52,<function naiveBayes at 0x7f536612a3a0>,75.0
52,<function logisticRegression at 0x7f536612a430>,50.0
52,<function decisionTree at 0x7f536612a4c0>,37.5
52,<function randomForest at 0x7f536612a550>,12.5
53,<function naiveBayes at 0x7f536612a3a0>,12.5
53,<function logisticRegression at 0x7f536612a430>,50.0
53,<function decisionTree at 0x7f536612a4c0>,37.5
53,<function randomForest at 0x7f536612a550>,25.0
54,<function naiveBayes at 0x7f536612a3a0>,44.44
54,<function logisticRegression at 0x7f536612a430>,33.33
54,<function decisionTree at 0x7f536612a4c0>,66.67
54,<function randomForest at 0x7f536612a550>,55.56
55,<function naiveBayes at 0x7f536612a3a0>,66.67
55,<function logisticRegression at 0x7f536612a430>,44.44
55,<function decisionTree at 0x7f536612a4c0>,66.67
55,<function randomForest at 0x7f536612a550>,44.44
56,<function naiveBayes at 0x7f536612a3a0>,66.67
56,<function logisticRegression at 0x7f536612a430>,33.33
56,<function decisionTree at 0x7f536612a4c0>,66.67
56,<function randomForest at 0x7f536612a550>,44.44
