100: 32.4245939675174
101: 32.43400058021468
102: 32.44341265235055
103: 32.438316400580554
104: 32.48548199767712

100: 32.4245939675174
101: 32.43400058021468
102: 32.44341265235055
103: 32.438316400580554
104: 32.48548199767712

100: 32.4245939675174
101: 32.43400058021468
102: 32.44341265235055
103: 32.438316400580554
104: 32.48548199767712

100: 32.656612529002324
101: 32.637075718015666
102: 32.636873669955506
103: 32.64150943396226
104: 32.62485481997677

100: 32.656612529002324
101: 32.579054250072524
102: 32.59818146643451
103: 32.554426705370105
104: 32.555168408826944

100: 32.2
101: 32.4
102: 32.4
103: 32.6
104: 32.4
105: 32.2
106: 32.0

100: 33.5
101: 34.0

