Training Days,Prediction,Actual,Accurate
2600.0,Rose,Rose,1
2671.04325,Fell,Rose,0
2727.288013,Fell,Fell,1
2713.48,Rose,Fell,0
2589.164888,Rose,Fell,0
2512.366286,Rose,Fell,0
2502.03,Rose,Rose,1
2517.903114,Fell,Rose,0
2585.349186,Fell,Fell,1
2558.3,Rose,Fell,0
2477.641375,Rose,Rose,1
2501.191343,Fell,Fell,1
2421.26,Rose,Rose,1
2561.225429,Fell,Rose,0
2599.729838,Fell,Fell,1
2598.89,Rose,Rose,1
2609.96775,Fell,Fell,1
2491.201214,Rose,Rose,1
2502.86,Fell,Rose,0
2536.238938,Fell,Fell,1
2366.170143,Rose,Fell,0
2327.09,Rose,Rose,1
2385.748571,Fell,Fell,1
2354.783417,Rose,Fell,0
2338.49,Rose,Fell,0
2058.9956,Rose,Fell,0
1931.2143,Rose,Fell,0
1910.96,Rose,Rose,1
2320.12225,Fell,Fell,1
2264.7657,Rose,Rose,1
2265.21,Fell,Rose,0
2682.195363,Fell,Rose,0
2807.609857,Fell,Rose,0
2825.51,Fell,Fell,1
2751.821029,Rose,Fell,0
2560.997917,Rose,Rose,1
2564.3,Fell,Rose,0
2647.625,Fell,Rose,0
2781.636583,Fell,Rose,0
2784.8,Fell,Fell,1
2745.955417,Rose,Rose,1
2866.431667,Fell,Fell,1
2862.9,Rose,Fell,0
2693.633983,Rose,Rose,1
2794.117717,Fell,Fell,1
2790.0,Rose,Rose,1
3218.115017,Fell,Rose,0
3252.562533,Fell,Fell,1
3210.2,Rose,Rose,1
3457.374333,Fell,Fell,1
3357.326317,Rose,Fell,0
3340.28,Rose,Rose,1
3632.506667,Fell,Rose,0
3852.802914,Fell,Rose,0
3868.52,Fell,Rose,0
4282.992,Fell,Fell,1
4217.028329,Rose,Fell,0
4179.97,Rose,Rose,1
4328.725717,Fell,Fell,1
4130.440067,Rose,Fell,0
4104.71,Rose,Rose,1
4157.958033,Fell,Fell,1
4043.722,Rose,Fell,0
3986.28,Rose,Rose,1
4174.95,Fell,Rose,0
4340.316717,Fell,Fell,1
4331.77,Rose,Rose,1
4360.513317,Fell,Fell,1
4354.308333,Rose,Fell,0
4339.05,Rose,Rose,1
4607.98545,Fell,Fell,1
4594.98785,Rose,Fell,0
4582.52,Rose,Rose,1
4911.740017,Fell,Fell,1
4580.38748,Rose,Rose,1
